c0,c1,s0,s1,r
14,12,88084606,109202948,0.65274980626806
3,13,6089475,99209522,0.737121955479194
3,8,33315427,101121973,0.916998210702164
10,10,35558886,31072255,0.718747348719537
15,10,64852419,124931911,0.610164945267317
8,11,33491235,134503983,0.600284953700366
12,11,68808037,69781056,0.823105935412271
22,6,50608241,67966730,0.645525830989329
16,21,20716400,40639185,0.891313681239805
7,11,124575922,45601862,0.611208755595623
11,10,34384333,12145431,0.616642194961157
3,18,23646500,54082917,0.801289341177354
14,5,77899623,115901137,0.837907669349541
3,7,76597677,75807230,0.792258891903111
3,2,75637781,142582071,0.900278350681143
6,11,7528659,70779116,0.676307300740931
4,8,188179459,19939784,0.709055509515188
4,20,9913244,352437,0.640428057824449
10,5,6077014,69969508,0.709197002058143
8,18,52678547,56458174,0.766565696056599
14,17,96376797,922483,0.789837977807302
21,6,17900985,32300279,0.802669853605583
7,22,4748921,19542505,0.730117879210245
4,13,55135462,108174178,0.659867167369271
19,14,13908577,37314760,0.783753274280487
21,7,47616681,130954725,0.666154840976429
8,22,41915447,22224869,0.942858441343182
9,10,127730403,46037350,0.952052641473991
1,11,43775667,21677296,0.625642426894197
22,20,37620223,31847379,0.79232770802231
5,12,173087508,121711671,0.643976857119619
11,11,134094490,75244970,0.631284164553646
17,10,55196759,134816874,0.623576727937803
6,9,31892883,86521140,0.638593062835781
18,11,25520683,70677028,0.628322626224257
9,12,98935831,107937746,0.673757876290297
6,11,43275556,91391034,0.799484843290077
8,7,94702395,36896530,0.972156206407355
17,7,80444402,44172394,0.658179955092823
12,15,64579167,73613826,0.768795292915096
14,22,54781711,39815893,0.684228750397601
16,22,1583264,17537650,0.898777447551391
8,3,145110658,184896052,0.705985692006189
5,16,141054502,3714527,0.607132746139345
4,7,140820279,74553497,0.690447844123815
2,4,23861523,885843,0.632675667748354
18,5,48602232,173131076,0.81359713603677
12,3,2869029,103062087,0.660985559635556
19,1,554717,168445533,0.782568418472105
9,8,116840090,54459301,0.775091827626804
1,3,234614904,45255129,0.806538032298284
21,5,46834395,122628486,0.69512807066282
10,5,3441875,75010596,0.741634730306605
22,10,25524529,52358872,0.843596034029464
2,11,72322132,87329309,0.62394696996104
11,8,126309523,21522395,0.625256733515833
19,16,16721925,2236439,0.88256092701384
3,20,12937590,18237538,0.63621552289595
4,8,109634923,29937310,0.69696432550954
17,7,78320361,73989148,0.76043244532396
6,5,35392224,169598962,0.716368719284459
17,18,57158821,64917730,0.78327209199123
21,18,45941883,60077207,0.627159586602278
4,17,564386,47395919,0.850994050942478
1,10,28561449,124222140,0.811343020695733
3,10,13143023,35230156,0.770369425908949
3,1,82424153,18516062,0.817785914341245
13,8,37073943,55061672,0.85455089637798
22,18,39757771,39928467,0.731199599905212
22,18,36520073,61874287,0.686836627049023
16,3,66016619,89291621,0.688558355734062
9,7,26663219,101146066,0.68868685811097
9,15,115549693,91844835,0.693325018385788
11,17,60710502,48805568,0.869095418326786
13,11,23215737,70009039,0.638544650915188
16,21,31175601,31902342,0.77152807095763
6,4,167809293,6539519,0.609652989678056
14,6,69033308,165347444,0.809532348803646
9,10,135919429,100773071,0.632786400009531
20,7,20033099,6570498,0.905897953310646
2,17,43599040,46979633,0.841225484450601
11,17,131031379,77649344,0.800066666359063
18,22,70343817,45033932,0.615005440203544
13,12,59249146,39301371,0.617861376915119
22,10,34336771,17784777,0.649080568974872
5,15,176902529,40952597,0.85873793157676
5,21,33724549,36077630,0.749531860438311
21,22,45339620,20185378,0.646938454283892
22,7,48235052,143829622,0.668444984812132
22,7,18132618,45323914,0.692588074828346
2,6,237634834,69133192,0.640073549276653
1,4,33998829,9954414,0.820501048934951
9,7,140961095,22383830,0.740102976549833
2,7,61795869,41841391,0.741810317856968
1,22,31107074,36424773,0.684043631286906
17,1,48869611,24259582,0.656210937734385
1,14,11181064,32585499,0.717886317454812
13,6,104766259,100208407,0.65052143700547
5,20,142655237,59379409,0.643206302683795
22,6,47515188,118816957,0.83160512261247
14,12,97787792,19253281,0.829038931232278
9,10,80509181,134965702,0.869453741925546
17,20,18811384,17792071,0.761319333220555
19,19,14235292,51620299,0.651875533490519
10,2,75278428,1454555,0.755327630914353
8,14,41920281,63477232,0.744308183032266
4,13,16791536,106885821,0.634985238535032
2,12,100720698,12764751,0.782862359041412
4,12,96953215,124841677,0.810464802445073
6,22,166854180,47847740,0.772884630530906
4,16,184813324,83233346,0.830973906743943
10,2,123518859,239498804,0.933588818366294
9,12,138089901,69323658,0.600020609887197
11,22,13356503,42636824,0.627055987054559
14,1,99786714,179923375,0.627490348719592
7,9,62893556,140664770,0.897126824380768
2,15,10286490,38831830,0.795216443303569
13,15,28665248,86185378,0.735337593894456
8,22,141194534,46703521,0.814898575311169
14,3,75677396,143989566,0.697536577653775
7,8,73030934,41846889,0.736614899162396
5,11,14148085,50276558,0.835132169337349
5,14,23433874,52839359,0.713901712400251
3,6,33859940,53029480,0.686398708536409
9,17,86470597,11680867,0.653269528530764
9,13,69065085,52436933,0.693241311259062
4,22,151559141,32362833,0.61788681323362
5,20,105696380,15432107,0.665110867894558
6,18,34265104,75658973,0.647083181002954
19,9,2732510,66787924,0.889227729195393
6,4,42109287,1618241,0.713356021335382
21,10,44909486,124004861,0.944484348285923
22,19,41307223,56607600,0.835800047750921
12,6,133206253,14613477,0.764226395455315
2,11,70933892,128375595,0.67102831453629
10,21,5683068,43233043,0.662592535627234
18,16,77937013,17688684,0.671285485539998
13,19,50379379,53676163,0.675482945890047
22,9,37830341,129828031,0.770711357882545
22,18,45981481,3486265,0.703683975437937
8,4,6313720,175580261,0.898532548019464
7,9,6853224,98795180,0.651228326836188
22,6,30070596,133359017,0.735622791909019
14,22,92420221,25858176,0.688564279133012
11,7,78241177,56666781,0.652855324379287
17,9,12285460,84435042,0.65544682058386
13,13,31506189,48515732,0.602905663739583
17,3,72247924,64177072,0.741268081363809
22,15,36323135,102092996,0.60422406612664
10,12,44187058,63994248,0.713712544962673
10,8,123814694,30604098,0.807327355120516
4,13,42286932,111253163,0.752971051584202
14,3,102259423,69888419,0.869396281273219
6,8,4751790,41709331,0.848519557189189
15,19,72826815,17750342,0.683741505500054
7,14,158041337,75687544,0.603069331350551
8,6,3586625,28801706,0.63991063916506
21,16,42764832,18551986,0.743578127265565
10,19,11464592,8113276,0.711985621981626
18,19,66106440,10771313,0.717044031024883
16,8,55715311,307202,0.639004046773168
4,20,163204948,36933850,0.634439616942006
9,22,133702165,50086158,0.801822719709169
10,12,100029650,81383220,0.791933768290433
17,8,18563444,33345455,0.630155283917284
22,8,19791853,142674627,0.765628913381461
1,17,16086503,74380232,0.697391617206055
2,16,127662401,6751182,0.893180111008702
15,18,34895437,72141992,0.663765403944363
9,13,132491051,49772694,0.602769264783823
1,2,104243146,135672422,0.627588481454488
1,17,53074881,74420016,0.825402517713663
17,21,19801260,41740129,0.861279253563822
9,7,17561866,28546885,0.621736403394547
5,21,58294951,46904611,0.7428322045769
13,11,73811550,16920179,0.792558090371507
13,4,90570724,99855813,0.650131316788145
13,19,28542481,615759,0.818076087244612
14,18,65131549,18997540,0.883202597078751
18,13,21869723,113429417,0.675785974417414
20,10,15851411,948131,0.656733492790114
12,22,111522167,49692752,0.718306347638233
1,15,204568791,76214171,0.648287009602338
1,18,155844519,77828955,0.704025728203614
12,21,124825945,34576412,0.654312511562702
14,18,50518323,13360287,0.632811371322182
5,12,140593161,133489754,0.756461511339306
19,2,35966296,14963193,0.670120777383076
2,10,111016144,116417419,0.674476289307843
19,5,56440441,70373859,0.700350649496524
21,3,47537231,47791538,0.617475674946463
12,2,121342243,170684403,0.641939966143903
21,10,16981879,6761343,0.764607180852279
20,16,43539150,2708386,0.871026864042138
19,22,53292171,48072551,0.716446766471909
14,7,64692826,102275120,0.806498012725561
8,8,113285703,27415607,0.682829251321523
12,19,1047821,11094975,0.891662937858621
9,11,37162311,47734908,0.773992137017404
1,13,144613280,71085204,0.74614229774398
5,21,150685080,45187339,0.699580012810834
4,7,156542422,155196395,0.762700037250755
8,1,40530925,120249598,0.609098563416586
10,17,73282768,81040812,0.704271110936706
17,12,2692114,98870272,0.689174895624661
9,19,4680114,3427847,0.760114212765282
18,8,54710353,5885364,0.653841791198902
18,16,13842299,1352121,0.669921800860165
20,7,50673987,98615320,0.653535804753392
18,9,23471339,135898516,0.725915673784907
22,13,32217907,26620891,0.762053310879235
9,7,2875378,157321060,0.711588030738392
22,3,50356682,147547792,0.970885609124015
21,4,32566502,72401522,0.754385909709809
5,14,178601818,90270189,0.640642015421226
22,13,42605744,81434916,0.719520789198225
20,20,54864511,41248970,0.616917946735676
13,6,97683108,4563424,0.87805195114952
21,16,40666746,84407559,0.871460345186225
16,15,27393598,96628238,0.630175210008436
12,14,50366984,89111134,0.967361197169898
12,5,14375621,70205661,0.719518937921554
10,3,23889764,139279194,0.735011514243135
10,8,3750080,288721,0.757676851831118
10,7,79683772,75508846,0.683796901229966
22,17,19593011,63098250,0.786373701403449
7,12,139325816,19461526,0.683720735935993
13,14,98748420,54748390,0.736429668386298
16,7,28237835,151205734,0.714073657566875
2,6,161018842,5588370,0.604732070821729
5,12,165508027,108451048,0.747568332924588
2,6,159735474,149352262,0.779931741151985
10,18,129626418,7359308,0.725332983387845
10,6,71613628,37564926,0.755053928337456
4,9,272634,129237265,0.64928914258476
9,21,6581466,15269442,0.770028291698433
7,12,156566936,129140327,0.623656109346316
10,19,72064011,14758609,0.746909326068241
5,7,4009787,36506356,0.730556111611991
18,17,5305811,46997687,0.60797554598765
17,21,571081,34861571,0.673818599707603
12,5,22160839,90631850,0.638066878602361
22,6,46876910,154015408,0.729752122080451
2,5,236968330,166191539,0.759678373201991
3,4,38523508,153958906,0.748171130630108
10,19,134173271,50330866,0.749326163146059
9,20,70089345,56185703,0.850421090326196
19,2,10357211,240082345,0.807121713583926
5,2,134661094,28354037,0.634318933533852
16,18,14700174,47157212,0.8704579025047
17,19,1430451,29920268,0.790040658172168
21,4,42052377,128887377,0.626096942653906
13,22,107860979,43480229,0.644763626268888
18,17,74712998,45889330,0.698514160857502
13,13,73751392,110927137,0.627535832291786
13,15,44683090,34841280,0.728142399261938
22,14,23427276,88739234,0.608110043935171
22,16,49536297,17964462,0.89685317994055
2,1,44344083,201431679,0.615521875190962
1,15,211410057,78435184,0.75772014389389
4,13,160140466,23277533,0.769634342301872
6,5,14422346,178028917,0.705344702798846
5,10,107498321,127796045,0.6981139155405
4,12,9718837,124466985,0.911738144757112
8,5,87444111,17601601,0.687875058858276
21,7,39037394,47853815,0.743356177011039
14,20,75150990,62008898,0.790777943276447
2,19,60279160,58313845,0.643782259873696
8,6,143618822,20452387,0.864544385543181
3,16,57040043,33298315,0.605273764615879
18,2,64743863,141872532,0.650797863065272
14,1,83460655,30405562,0.634311349533952
20,11,60474624,113958864,0.644003719902187
7,18,4586455,56433799,0.69883346497409
12,7,58274663,72133640,0.749738463144137
6,20,169741015,37059553,0.682491925158746
21,2,16589653,222008326,0.695362973159686
4,22,1517060,48327498,0.914707733937079
12,5,62680409,31141034,0.899111433526658
14,16,85995030,15114325,0.64864807404402
9,20,35649391,19752666,0.699508588398146
13,1,100912671,212797894,0.810525864816029
11,14,107710437,89773380,0.736947110632761
7,20,158667990,30842285,0.636635653164499
8,8,26454240,94896493,0.761082382959919
7,5,81426566,77565551,0.850407584482098
1,4,21735513,89472790,0.666123526832065
11,9,38519561,34612573,0.719265997205453
19,13,34203354,89575727,0.609294680680545
3,6,119699486,90069782,0.764206564242497
1,6,233158039,164185041,0.614325297659804
13,11,112242473,124650593,0.714007316138024
2,7,65127603,6334836,0.891173471016608
6,9,159946023,89061979,0.649624678339918
3,18,138913350,215284,0.641223690043965
16,18,28859729,3091743,0.643692418071258
18,20,35039396,33701692,0.946642131302538
6,5,154521542,32372268,0.773043169886877
10,1,79749445,85339388,0.86170073757242
20,1,17838745,85115736,0.718304046991842
21,15,45500786,61316493,0.612443134843355
18,13,59359186,42053792,0.674115912623112
5,22,150421428,33648887,0.663649642884772
4,14,39703183,34323048,0.727240444911795
9,13,79043146,31364693,0.906594110604096
12,22,8116976,38108938,0.610768487577138
10,8,3518718,37309343,0.788367071835674
20,12,35593832,118198003,0.699543017771518
21,1,14424096,90232148,0.915395909987469
17,20,13972417,827491,0.683273909341339
22,14,49339371,55914462,0.611507661151627
17,14,18049168,21919922,0.892920320134823
17,1,55491339,14127553,0.783745077502679
22,10,50599753,135338727,0.685044993650655
4,13,749242,49710854,0.718043004960572
15,13,45903506,111775148,0.612911732458916
5,13,27231694,73700117,0.704874151559362
9,16,14299894,8692954,0.636808954686964
18,19,54227282,40798686,0.792227998352385
3,10,11253996,134408046,0.857899791075808
3,22,55554952,41964299,0.892146106437246
1,13,161801544,57275698,0.802979891319007
17,8,70491812,785812,0.673013240197157
8,9,47098708,41846532,0.817877232873237
17,6,65224898,10374029,0.755774183557738
22,16,49757981,49521779,0.74572567011458
11,10,39049458,130486855,0.630042197232451
15,21,77916760,9960909,0.74651293065488
21,21,22012886,39544259,0.665999207545131
2,4,120228905,6951003,0.651089686032701
13,1,114587735,185322334,0.684218581336578
21,19,35501802,18906982,0.780736193262728
7,13,14426087,103960889,0.773259466886824
3,9,121510579,35880055,0.776315356971504
21,19,44387272,22016316,0.636334095418651
17,6,45882178,128723052,0.77247323653081
16,22,19693744,31488086,0.853853864138618
11,11,72418543,36697404,0.794224914287399
16,17,49954480,36071005,0.780670508927495
12,11,82191367,44635645,0.784822775216176
5,10,103939247,63713290,0.734681535032487
13,16,45811966,30466487,0.888274117787075
1,12,227132624,54104222,0.608579498226276
13,7,38760478,66675242,0.877822894887434
11,5,118011027,173969012,0.898090801553261
17,3,29111388,43469411,0.828952792759847
21,13,45484484,72795099,0.716327335301598
2,18,160487215,47152945,0.619157150597352
11,18,122607029,33561348,0.69911954415752
1,19,157089632,34045935,0.848799815642937
6,15,35884426,43230348,0.665833316808536
19,14,287471,102750840,0.830877539563769
6,12,74146726,879461,0.673726319559839
14,2,68752098,223915455,0.635070921544935
4,17,23126454,77711192,0.655377539684424
19,15,36366705,89849206,0.772365668676008
10,19,31863316,53313291,0.949403353125521
17,1,72864979,225075897,0.851970339763189
1,3,45114432,72208066,0.828821868684568
11,7,88710041,44044163,0.677465800289123
16,3,17292119,9757911,0.612176122550187
1,21,193194101,44724400,0.68132275358151
6,6,125811410,1885425,0.611294433126354
14,20,25994082,57635921,0.780311897959031
8,1,110311024,173486724,0.909758653584135
4,17,1030062,13253306,0.736818265394386
16,4,67047646,6987601,0.733356641513202
3,3,49112786,151781376,0.640991387269723
1,9,76944448,126269837,0.702120153566075
12,4,87058772,423496,0.942336346716991
20,9,48243739,78854618,0.850803196645957
15,8,61825808,4659029,0.628288422273546
20,3,51447711,182518598,0.786559139596394
3,4,182428580,110442243,0.661011166989117
19,13,57396634,31256142,0.793471625444691
19,13,20439904,80910934,0.939493835415334
9,9,136473161,73589050,0.859152801274502
4,9,55446145,129132784,0.922107305831157
18,8,43771834,75869860,0.66349712376088
14,7,50079371,133010336,0.635708156174501
6,2,143031494,59151778,0.601329646810583
10,5,133328718,31782908,0.940094481394024
5,7,153782829,32835404,0.631579245527208
10,9,129736646,140562101,0.65747663481964
20,1,6789261,214192749,0.614994177309246
15,9,52383672,115267288,0.851428409956943
9,4,125564522,136261024,0.713016325710169
3,12,123235889,14328738,0.768636567482941
12,17,108266668,12883717,0.872414012110143
12,14,89307944,69424859,0.62163909323148
20,16,46333145,4926092,0.732442126100325
9,8,79096907,101630208,0.729806710931965
18,12,75497377,51034002,0.706841802155392
4,12,148789433,23274258,0.629547761682375
1,20,205234651,35683990,0.940654733136118
5,3,178625210,176035830,0.919843387759915
8,12,127521768,9060102,0.834097684279073
19,7,33881599,33707471,0.908173208085621
22,20,47564807,13657128,0.626866917381329
1,18,42918147,5995324,0.952967459203729
3,15,193449500,91442992,0.668617983345145
18,13,19363842,111769739,0.754030271909562
4,9,33892655,77734440,0.722768752834475
7,14,139064263,73209258,0.610403994212133
1,18,52369292,23808918,0.611721245608863
15,21,95065812,40280739,0.653192415742043
3,2,129662610,41800284,0.608880739821382
4,10,63568410,92397951,0.902576319194858
2,5,112625891,149916710,0.79005623128936
21,2,37338666,215844712,0.610144611786226
7,5,1308126,172357716,0.836858344353641
4,22,40811446,37118517,0.614323444252895
18,6,41847903,16970765,0.68926270072671
1,9,206889137,5451249,0.796530631069642
1,14,16469992,102386547,0.754659665462755
12,18,94006751,11192607,0.737194985158339
1,13,227169443,37438881,0.766219359851918
10,6,94157587,150231342,0.789633020901799
1,2,38117594,26166895,0.672153946635894
17,16,61487741,47577472,0.954320197035262
21,11,37763528,69947706,0.62810137175821
10,6,6306537,158055922,0.708045583632041
18,12,32642816,52990294,0.706650299802008
1,18,235278800,60013589,0.905378224926185
17,6,4463096,36660584,0.688676303417121
13,20,111947771,38225454,0.60598010593911
5,16,153080406,28113221,0.626502863793316
10,21,120057606,47557125,0.655261338349874
12,19,1937525,2632205,0.713648570563474
18,15,75280480,63257164,0.645337906059452
17,2,13473293,203732540,0.639537758478416
22,1,50892645,167511903,0.688756764131362
14,14,103268927,73176032,0.846204456807139
15,10,45435036,95089047,0.891886368226624
9,2,131799967,125569896,0.726124787996953
1,3,231014281,155523853,0.662266927066835
17,19,76660229,11558456,0.878785169980586
12,21,114926767,47326946,0.68142213796149
3,8,194423565,12271516,0.695058620258866
21,19,44828352,47556786,0.619791663109527
20,17,44919752,5153744,0.738612114962177
9,3,128385091,169828802,0.724191149462673
14,12,68426035,96398686,0.819394342052752
6,17,34370056,21157591,0.669461338866506
21,4,39028927,119801918,0.802618910517271
18,14,7900581,54142687,0.654109917922241
5,7,171531712,44909605,0.609192629400394
22,14,47137967,58269720,0.686040326051853
13,9,28544167,67722247,0.838504541185833
13,1,80797567,12588801,0.840156989441037
6,17,57213623,78777767,0.805391512055808
3,2,17219196,55011871,0.923220972618556
18,6,22928088,136847257,0.624703457908898
14,21,19827488,37666340,0.91149963064527
4,4,171189414,2302559,0.734461363475344
6,2,891161,20557400,0.801316994428234
17,15,80098462,38366125,0.680660097357078
4,11,70333742,91618819,0.816192018530843
9,14,131820731,87965216,0.751639583423464
1,11,9308551,94117990,0.755880255340714
3,11,115995583,117946406,0.738408241871465
8,17,20089329,77720607,0.757806462942429
8,19,139901115,49995369,0.928759146568579
8,3,124520453,44141459,0.766429738961381
6,6,64293939,75310099,0.860027666961687
2,22,121359668,19131327,0.629773224273432
19,14,47816320,100089031,0.622328388404142
17,5,72732676,169693269,0.771595632453831
20,14,36996672,84370304,0.637556317773764
7,5,96813178,156954719,0.781062851466101
21,2,34401747,233973694,0.963262326212813
11,8,134692810,6687184,0.652824067514566
16,12,24120570,6022909,0.720083029371595
6,8,47283003,5155839,0.773983086714802
20,15,24672278,23112436,0.649088845735976
2,8,204042285,140320735,0.60793167254882
15,13,98327095,112890222,0.624208663607188
1,18,118113088,76351376,0.816131415137211
18,8,33019012,72567178,0.876580495004473
8,18,99924384,46763044,0.62895978405452
14,2,87621541,101318032,0.623838066208679
4,12,167763823,124220807,0.601398312232561
20,14,25860048,88122350,0.87061711575156
2,7,10792736,28179276,0.931520932324719
8,1,74835539,248100257,0.661102100260636
13,17,115031552,61033973,0.868312094802139
16,13,85640180,19046672,0.654560743270756
14,7,105240538,2322583,0.607492953214282
14,1,72447491,41172899,0.856431007275306
22,22,26986412,46943209,0.623547335114231
1,3,214249591,151286328,0.70835125416711
11,3,106268439,65726153,0.908884190270334
8,5,1202007,77548140,0.612475002182913
19,12,6959158,125095284,0.927855739573712
18,18,21309640,72780494,0.62436769793836
8,15,29664911,31745648,0.741240001119673
21,11,44479160,67714762,0.755470368652558
3,2,128528769,106178647,0.682069959726857
20,1,49626544,24475131,0.69312679184572
1,9,1647931,86715985,0.686990598326651
8,6,142553405,8133999,0.704745175861879
20,2,16533269,236676434,0.872709437337976
10,1,115230951,41532083,0.764448624854369
20,2,3125870,208400561,0.604474752388071
8,4,130630367,56837783,0.878012243952098
13,19,114171160,37104348,0.639538128686381
1,22,201498542,43818984,0.699135372321853
17,6,5042315,58247028,0.93255032413118
15,21,93830579,48116319,0.695105533004501
10,8,21266272,30065617,0.612334177233351
12,6,121861095,157359676,0.651967020530998
7,3,65418991,135682359,0.725521214860016
9,7,139517474,1537380,0.685586775423659
4,17,11022146,48485674,0.73073409633157
6,19,33631302,41235880,0.638382086131631
4,4,17577419,20894774,0.632481947937109
12,8,118407430,31602839,0.62832177070479
13,10,34182915,6045580,0.664146555363172
14,3,19971847,53916248,0.824943996957494
2,16,192877807,48455379,0.640547476175116
16,12,17826445,110987574,0.637633518888072
17,21,63300448,37389986,0.886551401420494
3,10,58286280,106187898,0.847334307811567
8,4,139128485,38553112,0.727488088061347
12,20,113654941,35672146,0.603344348428476
17,8,36049198,75314180,0.9387738724724
7,8,120420006,8874433,0.711594004973357
16,4,79548570,174710090,0.656382899736578
20,21,43704515,30703788,0.739724705734351
11,21,71118700,21597986,0.803865301257685
16,18,14716721,9722713,0.757650784471704
18,14,77801428,92014605,0.677305173307092
22,18,16171607,24002138,0.64007383392277
2,10,45319101,29362578,0.869240933213198
5,12,14776628,10412845,0.783333425484889
10,12,5336068,132101355,0.642977221592297
14,7,92130568,101876726,0.610740005901123
18,12,56517693,76378904,0.737835607610856
4,22,169864536,43640092,0.720351713048439
4,4,58693093,5805646,0.739215112518463
16,2,87127776,241804069,0.673935537004891
10,5,125402934,109026832,0.850369522660552
9,20,138576083,40714683,0.776350905965833
2,22,71125265,40349646,0.673691000196567
4,6,149055208,170151280,0.603878734007174
18,11,29546257,77988920,0.744098455107539
9,18,136533833,77660520,0.873511173105389
8,3,143148279,33137192,0.768313193339397
9,14,99549026,50454289,0.621655934042201
2,4,130987036,6860161,0.652909995661975
9,6,95493211,106291213,0.771648579401357
10,5,57869086,144226315,0.671020940817842
12,4,65864258,144272202,0.645529036120919
5,1,149113184,76929313,0.671272600870031
18,19,21937451,38750927,0.610023296176447
12,3,123345422,184029421,0.877148937467965
20,10,42426652,130945668,0.706649928167066
5,4,24091332,184855923,0.883785068903887
7,22,74611892,48589828,0.600036132654767
7,16,62686288,87918287,0.706240202265632
9,18,78997164,29367040,0.600530029485812
10,13,2436672,25271982,0.68199514076246
7,9,116027908,16041585,0.830376256765115
12,15,53509223,62361688,0.851456967002757
2,21,55014189,27299438,0.664638346831386
16,12,62118160,133368632,0.639545071789216
8,13,58093923,78174298,0.642447767622347
19,18,22877910,55863334,0.662445589814267
11,19,30859581,4823834,0.760245744151102
3,9,184377699,100790182,0.63807199739702
20,22,60504679,25802115,0.82713634745002
13,11,46417347,44353954,0.874426412059341
10,12,4310128,63935411,0.632807635143305
13,22,87061036,26189674,0.800600359371479
1,15,47183245,100914860,0.643872061779043
10,21,29991092,44758512,0.619662648669965
14,12,31514650,48469825,0.74496071288446
19,10,6966522,112150124,0.849711405246218
22,1,38127633,9180890,0.875984591666058
7,11,1849271,111285056,0.715634240765708
20,2,60312576,85649387,0.615420376665547
13,21,25226549,33486817,0.928216328615101
16,19,58666381,2846353,0.670388589377443
9,19,105129936,2148956,0.619078991779296
3,20,160821602,45824623,0.810247607527231
18,11,76801769,72262560,0.76522245565339
13,13,56728865,114426065,0.622294965448363
20,15,30350833,101183124,0.626343817690565
4,8,25735846,62371825,0.679199974696451
20,1,57762499,239329145,0.669343135489635
19,21,41514068,30327157,0.686641893856528
16,7,17835885,156723335,0.748677542749605
19,3,44607924,117132309,0.883136740262364
11,11,81028510,77791660,0.832969414470543
13,10,45559477,117317215,0.672699340594193
4,21,20813651,20526499,0.791786678112997
3,3,194041556,39308128,0.700359324435288
11,4,16979457,53918825,0.861852987713638
5,6,65799541,95020888,0.691237924953542
